recorded_at,source_timestamp,sequence,transport,fingers_json,status_json
1784109745.4540012,1784109745.453869,69,ble,"{""index"":{""age_s"":0.009244441986083984,""channels"":3,""force"":[-0.38407561271469604,-0.7262949893700013],""has_data"":true,""last_update_ts"":1784109745.4446247,""raw"":[16961,16162,17870]},""middle"":{""age_s"":0.009244441986083984,""channels"":3,""force"":[-0.02066990156036219,-0.033026023590002396],""has_data"":true,""last_update_ts"":1784109745.4446247,""raw"":[15754,15711,15792]},""pinky"":{""age_s"":0.009244441986083984,""channels"":3,""force"":[-1.0349371641736411,-0.7401714698700017],""has_data"":true,""last_update_ts"":1784109745.4446247,""raw"":[17433,15280,17690]},""ring"":{""age_s"":0.009244441986083984,""channels"":3,""force"":[0.2845716679938679,0.25366206353999754],""has_data"":true,""last_update_ts"":1784109745.4446247,""raw"":[15802,16394,15641]},""thumb"":{""age_s"":0.009244441986083984,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.4446247,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56391,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00927380500070285,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":68,""timestamp_us"":710618720},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.4446247,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.4446247,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.4446247,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.4446247,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.4446247,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784109745.503951,1784109745.5037932,70,ble,"{""index"":{""age_s"":0.00916910171508789,""channels"":3,""force"":[-0.3831142219444441,-0.7296253446900023],""has_data"":true,""last_update_ts"":1784109745.4946241,""raw"":[16959,16162,17875]},""middle"":{""age_s"":0.00916910171508789,""channels"":3,""force"":[-0.01826642463474215,-0.03774402696000223],""has_data"":true,""last_update_ts"":1784109745.4946241,""raw"":[15752,15714,15801]},""pinky"":{""age_s"":0.00916910171508789,""channels"":3,""force"":[-1.0402248134100152,-0.7376737033800049],""has_data"":true,""last_update_ts"":1784109745.4946241,""raw"":[17437,15273,17684]},""ring"":{""age_s"":0.00916910171508789,""channels"":3,""force"":[0.28985931723024194,0.25227441548999785],""has_data"":true,""last_update_ts"":1784109745.4946241,""raw"":[15787,16390,15634]},""thumb"":{""age_s"":0.00916910171508789,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.4946241,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56397,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009197232997394167,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":69,""timestamp_us"":710675296},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.4946241,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.4946241,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.4946241,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.4946241,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.4946241,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784109745.5539427,1784109745.55379,71,ble,"{""index"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[-0.3956123019576907,-0.7379512329900013],""has_data"":true,""last_update_ts"":1784109745.5446246,""raw"":[16962,16139,17880]},""middle"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[-0.020669901560365744,-0.04634744487000475],""has_data"":true,""last_update_ts"":1784109745.5446246,""raw"":[15747,15704,15809]},""pinky"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[-1.03878272725464,-0.74405688441],""has_data"":true,""last_update_ts"":1784109745.5446246,""raw"":[17422,15261,17682]},""ring"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[0.2893786218451133,0.2414507606999985],""has_data"":true,""last_update_ts"":1784109745.5446246,""raw"":[15781,16383,15647]},""thumb"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.5446246,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56401,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009193806996336207,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":70,""timestamp_us"":710712832},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.5446246,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.5446246,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.5446246,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.5446246,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.5446246,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784109745.6039488,1784109745.6037934,72,ble,"{""index"":{""age_s"":0.009168863296508789,""channels"":3,""force"":[-0.39080534810644174,-0.7446119436300025],""has_data"":true,""last_update_ts"":1784109745.5946245,""raw"":[16950,16137,17885]},""middle"":{""age_s"":0.009168863296508789,""channels"":3,""force"":[-0.01634364309424363,-0.04940027058000229],""has_data"":true,""last_update_ts"":1784109745.5946245,""raw"":[15738,15704,15810]},""pinky"":{""age_s"":0.009168863296508789,""channels"":3,""force"":[-1.0363792503290181,-0.7509951246600002],""has_data"":true,""last_update_ts"":1784109745.5946245,""raw"":[17420,15264,17695]},""ring"":{""age_s"":0.009168863296508789,""channels"":3,""force"":[0.2864944495343664,0.23978558304000153],""has_data"":true,""last_update_ts"":1784109745.5946245,""raw"":[15785,16381,15651]},""thumb"":{""age_s"":0.009168863296508789,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.5946245,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56408,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009197705003316514,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":71,""timestamp_us"":710778784},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.5946245,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.5946245,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.5946245,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.5946245,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.5946245,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784109745.6540089,1784109745.6538036,73,ble,"{""index"":{""age_s"":0.009171247482299805,""channels"":3,""force"":[-0.38840187118081815,-0.7343433480600012],""has_data"":true,""last_update_ts"":1784109745.6446323,""raw"":[16958,16150,17877]},""middle"":{""age_s"":0.009171247482299805,""channels"":3,""force"":[-0.01682433847936693,-0.03857661579000293],""has_data"":true,""last_update_ts"":1784109745.6446323,""raw"":[15749,15714,15801]},""pinky"":{""age_s"":0.009171247482299805,""channels"":3,""force"":[-1.033495078018266,-0.7398939402600035],""has_data"":true,""last_update_ts"":1784109745.6446323,""raw"":[17426,15276,17684]},""ring"":{""age_s"":0.009171247482299805,""channels"":3,""force"":[0.2927434895409906,0.24616876406999832],""has_data"":true,""last_update_ts"":1784109745.6446323,""raw"":[15783,16392,15644]},""thumb"":{""age_s"":0.009171247482299805,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.6446323,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56412,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009205191003275104,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":72,""timestamp_us"":710816256},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.6446323,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.6446323,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.6446323,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.6446323,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.6446323,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784109745.704047,1784109745.7038286,74,ble,"{""index"":{""age_s"":0.009159088134765625,""channels"":3,""force"":[-0.38647908964031785,-0.7376737033800032],""has_data"":true,""last_update_ts"":1784109745.6946695,""raw"":[16955,16151,17882]},""middle"":{""age_s"":0.009159088134765625,""channels"":3,""force"":[-0.016824338479368706,-0.045237326430002334],""has_data"":true,""last_update_ts"":1784109745.6946695,""raw"":[15740,15705,15804]},""pinky"":{""age_s"":0.009159088134765625,""channels"":3,""force"":[-1.0339757734033945,-0.744611943629998],""has_data"":true,""last_update_ts"":1784109745.6946695,""raw"":[17425,15274,17691]},""ring"":{""age_s"":0.009159088134765625,""channels"":3,""force"":[0.2884172310748667,0.24256087913999735],""has_data"":true,""last_update_ts"":1784109745.6946695,""raw"":[15782,16382,15645]},""thumb"":{""age_s"":0.009159088134765625,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.6946695,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56418,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009194026002660394,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":73,""timestamp_us"":710872768},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.6946695,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.6946695,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.6946695,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.6946695,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.6946695,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784109745.7539415,1784109745.7537913,75,ble,"{""index"":{""age_s"":0.009167671203613281,""channels"":3,""force"":[-0.3874404804105698,-0.7393388810400019],""has_data"":true,""last_update_ts"":1784109745.7446237,""raw"":[16950,16144,17879]},""middle"":{""age_s"":0.009167671203613281,""channels"":3,""force"":[-0.014901556938864857,-0.047457563310003614],""has_data"":true,""last_update_ts"":1784109745.7446237,""raw"":[15742,15711,15812]},""pinky"":{""age_s"":0.009167671203613281,""channels"":3,""force"":[-1.033495078018266,-0.7437793547999991],""has_data"":true,""last_update_ts"":1784109745.7446237,""raw"":[17426,15276,17691]},""ring"":{""age_s"":0.009167671203613281,""channels"":3,""force"":[0.2864944495343664,0.23645522771999872],""has_data"":true,""last_update_ts"":1784109745.7446237,""raw"":[15784,16380,15656]},""thumb"":{""age_s"":0.009167671203613281,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.7446237,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56423,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009196422004606575,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":74,""timestamp_us"":710919616},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.7446237,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.7446237,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.7446237,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.7446237,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.7446237,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784109745.804175,1784109745.8039062,76,ble,"{""index"":{""age_s"":0.009234905242919922,""channels"":3,""force"":[-0.397535083498191,-0.7618187794500013],""has_data"":true,""last_update_ts"":1784109745.7946713,""raw"":[16951,16124,17910]},""middle"":{""age_s"":0.009234905242919922,""channels"":3,""force"":[-0.015382252323993484,-0.05550592200000093],""has_data"":true,""last_update_ts"":1784109745.7946713,""raw"":[15744,15712,15828]},""pinky"":{""age_s"":0.009234905242919922,""channels"":3,""force"":[-1.0334950780182677,-0.7343433480600003],""has_data"":true,""last_update_ts"":1784109745.7946713,""raw"":[17422,15272,17670]},""ring"":{""age_s"":0.009234905242919922,""channels"":3,""force"":[0.3023573972434832,0.25615983002999787],""has_data"":true,""last_update_ts"":1784109745.7946713,""raw"":[15780,16409,15633]},""thumb"":{""age_s"":0.009234905242919922,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.7946713,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56429,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009274426003685221,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":75,""timestamp_us"":710976128},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.7946713,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.7946713,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.7946713,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.7946713,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.7946713,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784109745.854044,1784109745.853818,77,ble,"{""index"":{""age_s"":0.009206771850585938,""channels"":3,""force"":[-0.3888825665659432,-0.7385062922100003],""has_data"":true,""last_update_ts"":1784109745.8446112,""raw"":[16954,16145,17880]},""middle"":{""age_s"":0.009206771850585938,""channels"":3,""force"":[-0.01586294770911678,-0.04412720798999903],""has_data"":true,""last_update_ts"":1784109745.8446112,""raw"":[15744,15711,15807]},""pinky"":{""age_s"":0.009206771850585938,""channels"":3,""force"":[-1.0334950780182695,-0.7448894732400015],""has_data"":true,""last_update_ts"":1784109745.8446112,""raw"":[17420,15270,17687]},""ring"":{""age_s"":0.009206771850585938,""channels"":3,""force"":[0.28889792645999,0.2445035864099978],""has_data"":true,""last_update_ts"":1784109745.8446112,""raw"":[15782,16383,15642]},""thumb"":{""age_s"":0.009206771850585938,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.8446112,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56434,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009246653993614018,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":76,""timestamp_us"":711023200},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.8446112,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.8446112,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.8446112,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.8446112,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.8446112,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784109745.9043345,1784109745.9040887,78,ble,"{""index"":{""age_s"":0.00915837287902832,""channels"":3,""force"":[-0.388882566565945,-0.7440568844099982],""has_data"":true,""last_update_ts"":1784109745.8949304,""raw"":[16952,16143,17888]},""middle"":{""age_s"":0.00915837287902832,""channels"":3,""force"":[-0.01490155693886841,-0.048012622530000826],""has_data"":true,""last_update_ts"":1784109745.8949304,""raw"":[15739,15708,15810]},""pinky"":{""age_s"":0.00915837287902832,""channels"":3,""force"":[-1.0354178595587662,-0.7415591179200023],""has_data"":true,""last_update_ts"":1784109745.8949304,""raw"":[17426,15272,17685]},""ring"":{""age_s"":0.00915837287902832,""channels"":3,""force"":[0.2913014033856136,0.2436709975799971],""has_data"":true,""last_update_ts"":1784109745.8949304,""raw"":[15781,16387,15645]},""thumb"":{""age_s"":0.00915837287902832,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784109745.8949304,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":56439,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009198797997669317,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":77,""timestamp_us"":711070144},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784109745.8949304,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784109745.8949304,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784109745.8949304,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784109745.8949304,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784109745.8949304,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
