recorded_at,source_timestamp,sequence,transport,fingers_json,status_json
1784118740.3480325,1784118740.347908,72,ble,"{""index"":{""age_s"":0.009250879287719727,""channels"":3,""force"":[-0.40138064657918804,-0.7601536017900026],""has_data"":true,""last_update_ts"":1784118740.3386571,""raw"":[16974,16139,17926]},""middle"":{""age_s"":0.009250879287719727,""channels"":3,""force"":[-0.017785729249618853,-0.033581082810000495],""has_data"":true,""last_update_ts"":1784118740.3386571,""raw"":[15768,15731,15810]},""pinky"":{""age_s"":0.009250879287719727,""channels"":3,""force"":[-1.0229197795455232,-0.7426692363600003],""has_data"":true,""last_update_ts"":1784118740.3386571,""raw"":[17420,15292,17694]},""ring"":{""age_s"":0.009250879287719727,""channels"":3,""force"":[0.27495776029137176,0.25366206353999665],""has_data"":true,""last_update_ts"":1784118740.3386571,""raw"":[15798,16370,15627]},""thumb"":{""age_s"":0.009250879287719727,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.3386571,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990805,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009276513010263443,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":71,""timestamp_us"":9705146368},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.3386571,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.3386571,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.3386571,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.3386571,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.3386571,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118740.3979487,1784118740.3978286,73,ble,"{""index"":{""age_s"":0.009170770645141602,""channels"":3,""force"":[-0.3965736927279373,-0.7640390163300017],""has_data"":true,""last_update_ts"":1784118740.3886578,""raw"":[16963,16138,17927]},""middle"":{""age_s"":0.009170770645141602,""channels"":3,""force"":[-0.016824338479368706,-0.03413614203000126],""has_data"":true,""last_update_ts"":1784118740.3886578,""raw"":[15764,15729,15808]},""pinky"":{""age_s"":0.009170770645141602,""channels"":3,""force"":[-1.016670739538899,-0.7407265290900025],""has_data"":true,""last_update_ts"":1784118740.3886578,""raw"":[17423,15308,17700]},""ring"":{""age_s"":0.009170770645141602,""channels"":3,""force"":[0.2797647141426225,0.2519968858799988],""has_data"":true,""last_update_ts"":1784118740.3886578,""raw"":[15795,16377,15632]},""thumb"":{""age_s"":0.009170770645141602,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.3886578,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990810,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00919394900847692,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":72,""timestamp_us"":9705193376},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.3886578,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.3886578,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.3886578,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.3886578,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.3886578,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118740.4480424,1784118740.447844,74,ble,"{""index"":{""age_s"":0.0091705322265625,""channels"":3,""force"":[-0.38119144040394914,-0.7346208776699994],""has_data"":true,""last_update_ts"":1784118740.4386735,""raw"":[16932,16139,17859]},""middle"":{""age_s"":0.0091705322265625,""channels"":3,""force"":[-0.0269189415669846,0.05661604043999713],""has_data"":true,""last_update_ts"":1784118740.4386735,""raw"":[15685,15629,15555]},""pinky"":{""age_s"":0.0091705322265625,""channels"":3,""force"":[1.6132137124787445,0.49622294267999845],""has_data"":true,""last_update_ts"":1784118740.4386735,""raw"":[16544,19900,17328]},""ring"":{""age_s"":0.0091705322265625,""channels"":3,""force"":[0.3326412065063451,0.7237972228799983],""has_data"":true,""last_update_ts"":1784118740.4386735,""raw"":[15727,16419,14769]},""thumb"":{""age_s"":0.0091705322265625,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.4386735,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990816,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00920653399953153,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":73,""timestamp_us"":9705249824},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.4386735,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.4386735,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.4386735,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.4386735,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.4386735,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118740.4980567,1784118740.4978378,75,ble,"{""index"":{""age_s"":0.009156465530395508,""channels"":3,""force"":[-0.41147524966680926,-0.7609861906200006],""has_data"":true,""last_update_ts"":1784118740.4886813,""raw"":[16978,16122,17921]},""middle"":{""age_s"":0.009156465530395508,""channels"":3,""force"":[-0.024034769256239485,-0.035523790080002726],""has_data"":true,""last_update_ts"":1784118740.4886813,""raw"":[15775,15725,15814]},""pinky"":{""age_s"":0.009156465530395508,""channels"":3,""force"":[-1.0354178595587662,-0.7459995916800022],""has_data"":true,""last_update_ts"":1784118740.4886813,""raw"":[17433,15279,17700]},""ring"":{""age_s"":0.009156465530395508,""channels"":3,""force"":[0.2759191510616237,0.2586575965199964],""has_data"":true,""last_update_ts"":1784118740.4886813,""raw"":[15799,16373,15620]},""thumb"":{""age_s"":0.009156465530395508,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.4886813,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990821,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009192768004140817,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":74,""timestamp_us"":9705296768},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.4886813,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.4886813,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.4886813,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.4886813,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.4886813,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118740.5479445,1784118740.5478039,76,ble,"{""index"":{""age_s"":0.009146451950073242,""channels"":3,""force"":[-0.41003316351143404,-0.755158068810001],""has_data"":true,""last_update_ts"":1784118740.5386574,""raw"":[16984,16131,17918]},""middle"":{""age_s"":0.009146451950073242,""channels"":3,""force"":[-0.026918941566988153,-0.032193434760000805],""has_data"":true,""last_update_ts"":1784118740.5386574,""raw"":[15773,15717,15803]},""pinky"":{""age_s"":0.009146451950073242,""channels"":3,""force"":[-1.0387827272546435,-0.7484973581700016],""has_data"":true,""last_update_ts"":1784118740.5386574,""raw"":[17434,15273,17702]},""ring"":{""age_s"":0.009146451950073242,""channels"":3,""force"":[0.2663052433591293,0.25088676743999905],""has_data"":true,""last_update_ts"":1784118740.5386574,""raw"":[15807,16361,15632]},""thumb"":{""age_s"":0.009146451950073242,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.5386574,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990826,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009169741999357939,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":75,""timestamp_us"":9705343776},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.5386574,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.5386574,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.5386574,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.5386574,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.5386574,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118740.5979493,1784118740.5978177,77,ble,"{""index"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[-0.3941702158023137,-0.7637614867200018],""has_data"":true,""last_update_ts"":1784118740.5886579,""raw"":[16962,16142,17928]},""middle"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[-0.014901556938866634,-0.031360845929999215],""has_data"":true,""last_update_ts"":1784118740.5886579,""raw"":[15766,15735,15807]},""pinky"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[-1.012825176457902,-0.7457220620699996],""has_data"":true,""last_update_ts"":1784118740.5886579,""raw"":[17405,15298,17695]},""ring"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[0.2840909726087446,0.2517193562699971],""has_data"":true,""last_update_ts"":1784118740.5886579,""raw"":[15786,16377,15628]},""thumb"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.5886579,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990832,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009183218993712217,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":76,""timestamp_us"":9705400352},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.5886579,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.5886579,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.5886579,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.5886579,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.5886579,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118740.6479273,1784118740.6478016,78,ble,"{""index"":{""age_s"":0.009142637252807617,""channels"":3,""force"":[-0.3960929973428158,-0.7609861906200024],""has_data"":true,""last_update_ts"":1784118740.638659,""raw"":[16968,16144,17927]},""middle"":{""age_s"":0.009142637252807617,""channels"":3,""force"":[-0.018266424634740375,-0.033303553200001446],""has_data"":true,""last_update_ts"":1784118740.638659,""raw"":[15757,15719,15798]},""pinky"":{""age_s"":0.009142637252807617,""channels"":3,""force"":[-1.0161900441537757,-0.7498850062200022],""has_data"":true,""last_update_ts"":1784118740.638659,""raw"":[17408,15294,17702]},""ring"":{""age_s"":0.009142637252807617,""channels"":3,""force"":[0.28312958183849446,0.2533845339299985],""has_data"":true,""last_update_ts"":1784118740.638659,""raw"":[15788,16377,15626]},""thumb"":{""age_s"":0.009142637252807617,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.638659,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990837,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.0091655740106944,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":77,""timestamp_us"":9705447232},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.638659,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.638659,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.638659,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.638659,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.638659,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118740.69794,1784118740.697816,79,ble,"{""index"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[-0.3980157788833143,-0.7609861906200033],""has_data"":true,""last_update_ts"":1784118740.6886578,""raw"":[16967,16139,17924]},""middle"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[-0.017305033864492003,-0.03552379008000184],""has_data"":true,""last_update_ts"":1784118740.6886578,""raw"":[15765,15729,15811]},""pinky"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[-1.0200356072347745,-0.7454445324599996],""has_data"":true,""last_update_ts"":1784118740.6886578,""raw"":[17413,15291,17695]},""ring"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[0.27928401875749564,0.2511642970499999],""has_data"":true,""last_update_ts"":1784118740.6886578,""raw"":[15792,16373,15630]},""thumb"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.6886578,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990842,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009181294008158147,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":78,""timestamp_us"":9705494208},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.6886578,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.6886578,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.6886578,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.6886578,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.6886578,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118740.7479434,1784118740.7478118,80,ble,"{""index"":{""age_s"":0.009154319763183594,""channels"":3,""force"":[-0.40138064657918804,-0.7595985425700027],""has_data"":true,""last_update_ts"":1784118740.7386575,""raw"":[16967,16132,17918]},""middle"":{""age_s"":0.009154319763183594,""channels"":3,""force"":[-0.019708510790115596,-0.035801319690001776],""has_data"":true,""last_update_ts"":1784118740.7386575,""raw"":[15767,15726,15811]},""pinky"":{""age_s"":0.009154319763183594,""channels"":3,""force"":[-1.0248425610860217,-0.7443344140200017],""has_data"":true,""last_update_ts"":1784118740.7386575,""raw"":[17422,15290,17697]},""ring"":{""age_s"":0.009154319763183594,""channels"":3,""force"":[0.2759191510616237,0.25088676743999816],""has_data"":true,""last_update_ts"":1784118740.7386575,""raw"":[15799,16373,15634]},""thumb"":{""age_s"":0.009154319763183594,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.7386575,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990848,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009176926003419794,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":79,""timestamp_us"":9705550624},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.7386575,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.7386575,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.7386575,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.7386575,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.7386575,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118740.7979474,1784118740.7978115,81,ble,"{""index"":{""age_s"":0.009153366088867188,""channels"":3,""force"":[-0.40618760043043345,-0.7723649046300025],""has_data"":true,""last_update_ts"":1784118740.7886581,""raw"":[16971,16126,17940]},""middle"":{""age_s"":0.009153366088867188,""channels"":3,""force"":[-0.02355407387111441,-0.03857661578999938],""has_data"":true,""last_update_ts"":1784118740.7886581,""raw"":[15772,15723,15817]},""pinky"":{""age_s"":0.009153366088867188,""channels"":3,""force"":[-1.0205163026198978,-0.739061351430002],""has_data"":true,""last_update_ts"":1784118740.7886581,""raw"":[17419,15296,17689]},""ring"":{""age_s"":0.009153366088867188,""channels"":3,""force"":[0.2898593172302384,0.2639306591099988],""has_data"":true,""last_update_ts"":1784118740.7886581,""raw"":[15792,16395,15618]},""thumb"":{""age_s"":0.009153366088867188,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118740.7886581,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":990853,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009176245002890937,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":80,""timestamp_us"":9705597568},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118740.7886581,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118740.7886581,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118740.7886581,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118740.7886581,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118740.7886581,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
