recorded_at,source_timestamp,sequence,transport,fingers_json,status_json
1784118758.6980453,1784118758.6979046,439,ble,"{""index"":{""age_s"":0.009245157241821289,""channels"":3,""force"":[-0.39849647426844115,-0.7651491347700006],""has_data"":true,""last_update_ts"":1784118758.6886594,""raw"":[16965,16136,17929]},""middle"":{""age_s"":0.009245157241821289,""channels"":3,""force"":[-0.016343643094241855,-0.031083316320003718],""has_data"":true,""last_update_ts"":1784118758.6886594,""raw"":[15766,15732,15805]},""pinky"":{""age_s"":0.009245157241821289,""channels"":3,""force"":[-1.02484256108602,-0.7426692363600012],""has_data"":true,""last_update_ts"":1784118758.6886594,""raw"":[17423,15291,17695]},""ring"":{""age_s"":0.009245157241821289,""channels"":3,""force"":[0.273034978750875,0.2519968858799979],""has_data"":true,""last_update_ts"":1784118758.6886594,""raw"":[15795,16363,15625]},""thumb"":{""age_s"":0.009245157241821289,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118758.6886594,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992756,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009275324991904199,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":438,""timestamp_us"":9723494464},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118758.6886594,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118758.6886594,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118758.6886594,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118758.6886594,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118758.6886594,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118758.7479336,1784118758.747805,440,ble,"{""index"":{""age_s"":0.00914621353149414,""channels"":3,""force"":[-0.40378412350481163,-0.758765953740002],""has_data"":true,""last_update_ts"":1784118758.738659,""raw"":[16977,16137,17924]},""middle"":{""age_s"":0.00914621353149414,""channels"":3,""force"":[-0.019708510790115596,-0.02858554983000161],""has_data"":true,""last_update_ts"":1784118758.738659,""raw"":[15769,15728,15800]},""pinky"":{""age_s"":0.00914621353149414,""channels"":3,""force"":[-1.0286881241670223,-0.7476647693400018],""has_data"":true,""last_update_ts"":1784118758.738659,""raw"":[17421,15281,17698]},""ring"":{""age_s"":0.00914621353149414,""channels"":3,""force"":[0.2720735879806231,0.251996885879997],""has_data"":true,""last_update_ts"":1784118758.738659,""raw"":[15800,16366,15629]},""thumb"":{""age_s"":0.00914621353149414,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118758.738659,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992762,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009170850011287257,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":439,""timestamp_us"":9723550752},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118758.738659,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118758.738659,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118758.738659,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118758.738659,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118758.738659,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118758.797939,1784118758.7978137,441,ble,"{""index"":{""age_s"":0.009154558181762695,""channels"":3,""force"":[-0.40811038197093374,-0.7773604376100041],""has_data"":true,""last_update_ts"":1784118758.788659,""raw"":[16967,16118,17943]},""middle"":{""age_s"":0.009154558181762695,""channels"":3,""force"":[-0.019227815404994075,-0.03940920462000008],""has_data"":true,""last_update_ts"":1784118758.788659,""raw"":[15776,15736,15827]},""pinky"":{""age_s"":0.009154558181762695,""channels"":3,""force"":[-1.0142672626132754,-0.7293478150800015],""has_data"":true,""last_update_ts"":1784118758.788659,""raw"":[17419,15309,17678]},""ring"":{""age_s"":0.009154558181762695,""channels"":3,""force"":[0.2946662710814856,0.27558690272999886],""has_data"":true,""last_update_ts"":1784118758.788659,""raw"":[15792,16405,15602]},""thumb"":{""age_s"":0.009154558181762695,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118758.788659,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992767,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009177713000099175,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":440,""timestamp_us"":9723597888},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118758.788659,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118758.788659,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118758.788659,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118758.788659,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118758.788659,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118758.847949,1784118758.8478172,442,ble,"{""index"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[-0.3999385604238128,-0.7582108945200012],""has_data"":true,""last_update_ts"":1784118758.838659,""raw"":[16972,16140,17922]},""middle"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[-0.020669901560365744,-0.03247096437000252],""has_data"":true,""last_update_ts"":1784118758.838659,""raw"":[15767,15724,15804]},""pinky"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[-1.029649514937267,-0.7515501838800036],""has_data"":true,""last_update_ts"":1784118758.838659,""raw"":[17418,15276,17701]},""ring"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[0.2768805418318703,0.25310700431999855],""has_data"":true,""last_update_ts"":1784118758.838659,""raw"":[15798,16374,15630]},""thumb"":{""age_s"":0.009158134460449219,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118758.838659,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992772,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009181479996186681,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":441,""timestamp_us"":9723644864},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118758.838659,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118758.838659,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118758.838659,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118758.838659,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118758.838659,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118758.8979397,1784118758.8978171,443,ble,"{""index"":{""age_s"":0.009157657623291016,""channels"":3,""force"":[-0.39657369272794085,-0.762928897890002],""has_data"":true,""last_update_ts"":1784118758.8886595,""raw"":[16965,16140,17927]},""middle"":{""age_s"":0.009157657623291016,""channels"":3,""force"":[-0.02018920617524067,-0.031083316320004606],""has_data"":true,""last_update_ts"":1784118758.8886595,""raw"":[15770,15728,15805]},""pinky"":{""age_s"":0.009157657623291016,""channels"":3,""force"":[-1.0209969980050246,-0.742669236360002],""has_data"":true,""last_update_ts"":1784118758.8886595,""raw"":[17417,15293,17693]},""ring"":{""age_s"":0.009157657623291016,""channels"":3,""force"":[0.27928401875749387,0.25282947470999684],""has_data"":true,""last_update_ts"":1784118758.8886595,""raw"":[15793,16374,15628]},""thumb"":{""age_s"":0.009157657623291016,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118758.8886595,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992777,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009180969005683437,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":442,""timestamp_us"":9723691872},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118758.8886595,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118758.8886595,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118758.8886595,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118758.8886595,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118758.8886595,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118758.9479363,1784118758.9478166,444,ble,"{""index"":{""age_s"":0.009147405624389648,""channels"":3,""force"":[-0.39897716965356445,-0.7715323158000018],""has_data"":true,""last_update_ts"":1784118758.9386692,""raw"":[16970,16140,17945]},""middle"":{""age_s"":0.009147405624389648,""channels"":3,""force"":[-0.02643824618186663,-0.03302602359000151],""has_data"":true,""last_update_ts"":1784118758.9386692,""raw"":[15776,15721,15808]},""pinky"":{""age_s"":0.009147405624389648,""channels"":3,""force"":[-1.022439084160398,-0.7446119436300007],""has_data"":true,""last_update_ts"":1784118758.9386692,""raw"":[17416,15289,17694]},""ring"":{""age_s"":0.009147405624389648,""channels"":3,""force"":[0.28889792645999,0.2639306591099979],""has_data"":true,""last_update_ts"":1784118758.9386692,""raw"":[15798,16399,15623]},""thumb"":{""age_s"":0.009147405624389648,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118758.9386692,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992783,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009170788995106705,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":443,""timestamp_us"":9723748416},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118758.9386692,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118758.9386692,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118758.9386692,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118758.9386692,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118758.9386692,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118758.9979496,1784118758.9978194,445,ble,"{""index"":{""age_s"":0.009081840515136719,""channels"":3,""force"":[-0.4004192558089379,-0.759043483350001],""has_data"":true,""last_update_ts"":1784118758.9887376,""raw"":[16974,16141,17925]},""middle"":{""age_s"":0.009081840515136719,""channels"":3,""force"":[-0.019708510790117373,-0.029695668270001363],""has_data"":true,""last_update_ts"":1784118758.9887376,""raw"":[15768,15727,15801]},""pinky"":{""age_s"":0.009081840515136719,""channels"":3,""force"":[-1.0190742164645226,-0.7421141771400004],""has_data"":true,""last_update_ts"":1784118758.9887376,""raw"":[17419,15299,17696]},""ring"":{""age_s"":0.009081840515136719,""channels"":3,""force"":[0.2783226279872437,0.25227441548999696],""has_data"":true,""last_update_ts"":1784118758.9887376,""raw"":[15793,16372,15628]},""thumb"":{""age_s"":0.009081840515136719,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118758.9887376,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992788,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00910447898786515,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":444,""timestamp_us"":9723795392},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118758.9887376,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118758.9887376,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118758.9887376,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118758.9887376,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118758.9887376,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118759.0480595,1784118759.0478356,446,ble,"{""index"":{""age_s"":0.009133338928222656,""channels"":3,""force"":[-0.4004192558089379,-0.7568232464699998],""has_data"":true,""last_update_ts"":1784118759.0387022,""raw"":[16970,16137,17917]},""middle"":{""age_s"":0.009133338928222656,""channels"":3,""force"":[-0.02211198771573919,-0.03219343476000436],""has_data"":true,""last_update_ts"":1784118759.0387022,""raw"":[15774,15728,15809]},""pinky"":{""age_s"":0.009133338928222656,""channels"":3,""force"":[-1.0205163026198978,-0.7473872397300036],""has_data"":true,""last_update_ts"":1784118759.0387022,""raw"":[17416,15293,17701]},""ring"":{""age_s"":0.009133338928222656,""channels"":3,""force"":[0.2773612372169936,0.2533845339299985],""has_data"":true,""last_update_ts"":1784118759.0387022,""raw"":[15798,16375,15630]},""thumb"":{""age_s"":0.009133338928222656,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118759.0387022,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992793,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00916975800646469,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":445,""timestamp_us"":9723842304},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118759.0387022,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118759.0387022,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118759.0387022,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118759.0387022,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118759.0387022,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118759.097951,1784118759.097819,447,ble,"{""index"":{""age_s"":0.00911855697631836,""channels"":3,""force"":[-0.3970543881130659,-0.7609861906200024],""has_data"":true,""last_update_ts"":1784118759.0887005,""raw"":[16973,16147,17931]},""middle"":{""age_s"":0.00911855697631836,""channels"":3,""force"":[-0.022592683100864264,-0.033026023590003284],""has_data"":true,""last_update_ts"":1784118759.0887005,""raw"":[15773,15726,15809]},""pinky"":{""age_s"":0.00911855697631836,""channels"":3,""force"":[-1.016670739538899,-0.7479422989500009],""has_data"":true,""last_update_ts"":1784118759.0887005,""raw"":[17414,15299,17704]},""ring"":{""age_s"":0.00911855697631836,""channels"":3,""force"":[0.2739963695211216,0.24644629367999826],""has_data"":true,""last_update_ts"":1784118759.0887005,""raw"":[15793,16363,15634]},""thumb"":{""age_s"":0.00911855697631836,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118759.0887005,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992799,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009143154995399527,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":446,""timestamp_us"":9723898848},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118759.0887005,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118759.0887005,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118759.0887005,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118759.0887005,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118759.0887005,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118759.1479514,1784118759.1478155,448,ble,"{""index"":{""age_s"":0.0091552734375,""channels"":3,""force"":[-0.4057069050453119,-0.7609861906200006],""has_data"":true,""last_update_ts"":1784118759.1386602,""raw"":[16976,16132,17925]},""middle"":{""age_s"":0.0091552734375,""channels"":3,""force"":[-0.024996160026487857,-0.037188967740002354],""has_data"":true,""last_update_ts"":1784118759.1386602,""raw"":[15769,15717,15810]},""pinky"":{""age_s"":0.0091552734375,""channels"":3,""force"":[-1.0219583887752712,-0.7471097101200037],""has_data"":true,""last_update_ts"":1784118759.1386602,""raw"":[17418,15292,17701]},""ring"":{""age_s"":0.0091552734375,""channels"":3,""force"":[0.28216819106824254,0.25671488924999686],""has_data"":true,""last_update_ts"":1784118759.1386602,""raw"":[15793,16380,15624]},""thumb"":{""age_s"":0.0091552734375,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118759.1386602,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":992804,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009178954991512,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":447,""timestamp_us"":9723945792},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118759.1386602,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118759.1386602,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118759.1386602,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118759.1386602,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118759.1386602,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
